Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.2,EN_NPi2020_1400,P2a,Primary Energy|Coal,EJ/yr,188.9912,133.3942,133.7226,144.1187,148.6247,148.1745,136.8506,133.9409,130.3041,114.982,99.2015,86.0069,76.0139,68.3175,61.0081,54.3124,48.0179
AIM/CGE 2.2,EN_NPi2020_1400f,P2a,Primary Energy|Coal,EJ/yr,188.9912,136.2846,136.8737,145.9676,148.7062,147.7906,136.2945,133.781,133.3611,118.189,102.5765,89.5274,78.5578,68.346,59.9405,53.2791,47.1114
AIM/CGE 2.2,EN_NPi2020_1600,P2a,Primary Energy|Coal,EJ/yr,188.9912,141.8152,142.4296,147.0037,149.2683,146.5588,134.4114,131.6713,132.1349,128.4826,113.9855,101.2044,90.4177,79.5448,71.054,63.2061,55.8935
AIM/CGE 2.2,EN_NPi2020_1600f,P2a,Primary Energy|Coal,EJ/yr,188.9912,141.8152,142.4296,147.0037,149.2683,146.5588,134.4114,131.6713,132.1349,128.4826,113.9855,101.2044,90.4177,79.5448,70.6063,62.7861,55.5029
AIM/CGE 2.2,EN_NPi2020_1800,P2a,Primary Energy|Coal,EJ/yr,188.9912,146.7898,146.9925,148.3632,150.084,146.8768,134.3258,130.7915,131.6614,131.5219,119.8372,107.5921,97.0638,86.3625,77.3058,68.9248,61.0543
AIM/CGE 2.2,EN_NPi2020_1800f,P2a,Primary Energy|Coal,EJ/yr,188.9912,146.7898,146.9925,148.3632,150.084,146.8768,134.3258,130.7915,131.6614,131.5219,119.8372,107.5921,97.0638,86.3625,77.3058,68.9248,61.0543
AIM/CGE 2.2,EN_NPi2020_300f,P2a,Primary Energy|Coal,EJ/yr,188.9912,118.1449,88.423,82.6353,99.2379,102.5149,80.6349,66.7754,55.9454,44.2399,34.9436,28.9475,24.596,21.1106,18.4832,16.4481,14.6654
AIM/CGE 2.2,EN_NPi2020_400f,P2a,Primary Energy|Coal,EJ/yr,188.9912,118.1449,89.8905,91.1843,106.2806,103.5368,82.3472,68.5565,57.3506,45.9178,35.9634,28.5034,24.2286,21.0237,18.6417,16.5714,14.7685
AIM/CGE 2.2,EN_NPi2020_500f,P2a,Primary Energy|Coal,EJ/yr,188.9912,118.1449,93.815,99.7071,110.3665,116.3609,96.0759,80.0674,67.2232,54.6571,43.54,34.143,28.0872,25.0813,22.4274,19.8754,17.6291
AIM/CGE 2.2,EN_NPi2020_600,P2a,Primary Energy|Coal,EJ/yr,188.9912,118.1449,88.423,78.1414,89.0195,99.7272,77.9879,67.496,60.488,52.12,44.3508,37.5706,31.9002,27.3554,23.8772,21.426,19.2704
AIM/CGE 2.2,EN_NPi2020_600f,P2a,Primary Energy|Coal,EJ/yr,188.9912,118.3901,98.8127,108.656,122.3417,127.1535,111.9904,91.4299,78.1419,65.2284,52.6931,41.9887,34.0273,30.0336,26.9807,23.9286,21.1324
AIM/CGE 2.2,EN_NPi2020_700,P2a,Primary Energy|Coal,EJ/yr,188.9912,118.1449,88.423,85.2882,101.5905,103.0274,81.3406,67.427,59.4661,50.8297,43.2125,36.6051,31.1711,26.9008,23.8637,21.4277,19.2688
AIM/CGE 2.2,EN_NPi2020_700f,P2a,Primary Energy|Coal,EJ/yr,188.9912,119.8645,105.5718,118.8132,131.4774,135.1045,124.31,105.9605,90.6231,77.0492,63.4179,51.6064,42.188,35.8765,32.439,28.8829,25.4501
AIM/CGE 2.2,EN_NPi2020_800,P2a,Primary Energy|Coal,EJ/yr,188.9912,118.1449,92.1074,96.3985,109.2857,111.1682,88.9789,75.3034,62.6605,53.7201,45.7206,38.813,33.1814,28.919,25.875,23.1693,20.7621
AIM/CGE 2.2,EN_NPi2020_800f,P2a,Primary Energy|Coal,EJ/yr,188.9912,121.9892,112.1821,131.6853,143.7277,148.2141,137.4208,123.1932,105.7902,91.0415,76.4141,63.1428,52.7524,43.9324,38.862,34.832,30.7661
AIM/CGE 2.2,EN_NPi2020_900,P2a,Primary Energy|Coal,EJ/yr,188.9912,118.3901,98.8127,108.656,122.3417,127.1535,111.9904,91.4299,78.1419,66.2021,56.5915,48.5031,42.216,37.6196,33.5123,29.7614,26.4931
