Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.2,EN_INDCi2030_1800,P3b,Emissions|CO2,Mt CO2/yr,42049.6801,42035.9062,41943.5164,36667.5978,34750.2409,32438.7524,29886.1253,27084.7125,24146.8433,20516.0706,16260.8929,10739.3328,5209.1881,1758.5846,608.9086,608.9086,608.9086
AIM/CGE 2.2,EN_INDCi2030_1800f,P3b,Emissions|CO2,Mt CO2/yr,42049.6801,42035.9062,41943.5164,36667.5978,34750.2409,32438.7524,29886.1253,27084.7125,24146.8433,20516.0706,16260.8929,10739.3328,5209.1881,1758.5846,608.9086,608.9086,608.9086
AIM/CGE 2.2,EN_INDCi2030_800f,P3b,Emissions|CO2,Mt CO2/yr,42049.6801,42035.9062,41943.5164,36667.5978,23854.9195,16285.8845,9972.4467,4357.5294,-552.6924,-4552.1218,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0
AIM/CGE 2.2,EN_INDCi2030_900f,P3b,Emissions|CO2,Mt CO2/yr,42049.6801,42035.9062,41943.5164,36667.5978,23867.6073,17849.6982,14455.2697,8221.9732,2722.7119,-1815.5832,-5482.6109,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0,-6000.0
AIM/CGE 2.2,EN_INDCi2100,P1c,Emissions|CO2,Mt CO2/yr,42049.6801,42035.9062,41943.5164,41028.3926,39385.5008,37172.6205,34605.3555,31998.3102,29340.5016,26637.1103,24052.8531,21658.5095,19320.7119,17049.2854,15073.0683,13290.0532,11622.9347
AIM/CGE 2.2,EN_NPi2020_1000,P2a,Emissions|CO2,Mt CO2/yr,42049.6801,32634.1022,27190.0519,25521.318,23086.6989,20057.5613,16826.291,12325.2725,6489.4877,1596.9769,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
AIM/CGE 2.2,EN_NPi2020_1000f,P2a,Emissions|CO2,Mt CO2/yr,42049.6801,33731.6417,29951.4344,29093.9679,26910.8816,24224.0523,21339.0178,17970.8874,13781.4259,7813.3304,2833.5525,-1305.5817,-4722.3532,-7496.9005,-9466.8279,-10000.0,-10000.0
AIM/CGE 2.2,EN_NPi2020_1200,P2a,Emissions|CO2,Mt CO2/yr,42049.6801,33557.9189,29573.9402,28697.592,26477.0073,23752.0822,20829.2345,17402.064,12813.6737,6982.2706,2129.9583,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
AIM/CGE 2.2,EN_NPi2020_1200f,P2a,Emissions|CO2,Mt CO2/yr,42049.6801,34561.4536,31736.8935,30906.0231,28898.8279,26384.0232,23668.5831,20563.173,17281.6386,12454.0186,6784.4726,2019.2245,-1953.8209,-5119.1237,-6873.8836,-7262.5182,-7297.025
AIM/CGE 2.2,EN_NPi2020_1400,P2a,Emissions|CO2,Mt CO2/yr,42049.6801,34827.4512,32303.5057,31466.137,29515.6468,27054.1777,24390.125,21363.5309,18169.2002,14079.8227,8177.6701,3197.5199,-0.01,-0.01,-0.01,-0.01,-0.01
AIM/CGE 2.2,EN_NPi2020_1400f,P2a,Emissions|CO2,Mt CO2/yr,42049.6801,35237.0204,33171.0899,32291.0363,30427.032,28045.0932,25456.2028,22544.035,19475.8421,15704.4661,10339.3998,5032.0503,569.0228,-2732.1867,-4263.3256,-4365.2639,-4380.8154
AIM/CGE 2.2,EN_NPi2020_1600,P2a,Emissions|CO2,Mt CO2/yr,42049.6801,36052.8282,34883.8803,33884.0755,32200.588,29978.3538,27534.9304,24838.8594,22008.1409,18514.6913,14427.4229,9023.977,3942.5579,592.1555,-0.01,-0.01,-0.01
