Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.2,EN_NPi2020_900,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,6.8323,3.128,3.3116,3.8011,3.242,1.8075,0.9633,0.8378,0.7038,0.6195,0.5606,0.5161,0.4709,0.4308,0.3954,0.3673
AIM/CGE 2.2,EN_NPi2020_900f,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,7.9217,4.7556,6.1556,5.7853,4.731,2.6894,1.5524,0.9513,0.8322,0.7092,0.5559,0.4291,0.3349,0.2736,0.2459,0.2154
AIM/CGE 2.2,EN_NPi2100,P1b,Final Energy|Industry|Solids|Coal,EJ/yr,41.1258,41.9103,41.5853,40.1831,33.5407,25.6022,21.1335,19.699,20.0207,21.5357,22.2289,22.1127,21.6676,20.9192,19.7556,19.0985,18.9386
AIM/Hub-Global 2.0,1.5C,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,38.8422,8.9153,2.2999,0.6466,0.3421,0.4264,0.5295,0.4476,0.2568,0.1331,0.1121,0.0961,0.0686,0.0608,0.0562,0.052,0.0485
AIM/Hub-Global 2.0,2.5C,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,39.9035,32.5302,32.4999,32.2037,29.973,22.8261,16.8445,11.793,7.7345,5.5491,4.0411,3.1573,2.5266,2.0738,1.6465,1.3106,1.0352
AIM/Hub-Global 2.0,2C,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,39.9035,20.0676,15.52,11.2353,7.3197,5.1223,3.9669,2.9237,1.9818,1.4782,1.0937,0.9517,0.822,0.7124,0.6044,0.5223,0.4477
AIM/Hub-Global 2.0,Baseline,P1a,Final Energy|Industry|Solids|Coal,EJ/yr,40.4837,39.2325,36.493,34.2682,32.0323,26.4232,25.223,27.7432,33.37,40.4821,46.459,47.7559,46.8994,44.3133,32.0631,23.2794,19.7778
AIM/Hub-Global 2.0,WB2C,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,38.8441,12.9478,3.0514,1.1453,1.3039,1.4549,1.3669,1.1,0.7922,0.6157,0.4505,0.3272,0.2299,0.1292,0.0705,0.0683,0.0683
COFFEE 1.1,CO_2Deg2020,P2a,Final Energy|Industry|Solids|Coal,EJ/yr,42.1647344575632,44.135952822288,65.748153758544,75.5736525378965,82.21826829816,81.416203938576,66.867336912384,54.415318141584,41.963299370784,36.7863188458392,31.6093383208944,37.60041671388,43.5914951068656,49.1737581792828,54.7560212517,51.917237543466,49.078453835232
COFFEE 1.1,CO_2Deg2030,P3b,Final Energy|Industry|Solids|Coal,EJ/yr,42.1647344575632,44.49748395456,61.177947903072,75.7880708571173,80.7668579665008,78.2540130496752,61.4905305918854,48.5622973278547,35.634064063824,36.5945641189992,37.5550641741744,37.51559693482319,37.476129695472,37.7329359937968,37.9897422921216,37.5841897483968,37.178637204672
