Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.1,TERL_15D_NoTransportPolicy,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,36845.859,30117.0393,20843.9657,11426.6814,9339.6718,7679.5621,5633.7396,3572.4202,2392.8632,934.8417,-173.8974,-1092.0308,-1739.2852,-2440.8809,-3041.6283,-3529.223,-3174.3837
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35582.9874,28609.6349,22939.2975,20910.7075,19253.7636,16671.983,13208.7581,9677.14,6362.718,3860.0657,1940.9481,373.7167,-744.9067,-1593.9091,-2316.9402,-2958.1483,-3597.1076
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,P2,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,36845.859,29800.1782,24122.254,22286.868,20478.8704,17736.264,14116.3226,10493.2659,7143.607,4390.1866,2961.4723,1894.6342,1098.6854,341.9281,-360.8624,-1040.8967,-1776.814
AIM/CGE 2.1,TERL_Baseline_LowCarbonTransportPolicy,P1a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,36298.7666,38982.2757,41098.3482,43076.8953,44478.5685,45291.1211,45046.2492,45656.9242,46874.6779,48701.1129,51083.4611,53689.5332,55933.8458,57874.1948,58300.763,58536.6798,59808.7016
AIM/CGE 2.1,TERL_Baseline_NoTransportPolicy,P1a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,37973.1179,41217.8116,43868.5509,46261.8984,47931.8548,48969.1197,48885.2781,49851.0222,51481.7477,53657.0518,56291.7514,59071.0392,61413.6956,63455.9133,63743.6909,64700.6951,66279.597
AIM/CGE 2.2,EN_INDCi2030_1000f,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39016.614,39349.4904,39715.3351,35560.9724,24599.6478,21980.156,20353.4102,15686.0593,9437.2698,4087.9833,-349.1083,-3523.1299,-3745.744,-3975.6097,-4214.6721,-4434.2219,-4623.1485
AIM/CGE 2.2,EN_INDCi2030_1200,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39016.614,39349.4904,39715.3351,35560.9724,24940.417,22800.486,21078.3128,16831.6534,10397.7786,4944.1051,2713.5003,2436.9733,2174.3657,1916.877,1675.6033,1467.1259,1296.0726
AIM/CGE 2.2,EN_INDCi2030_1200f,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39016.614,39349.4904,39715.3351,35560.9724,27098.4313,26199.1825,24062.6055,20471.7258,15100.8778,9021.0377,4392.4226,287.1133,-3342.3976,-3647.5284,-3891.7569,-4138.6753,-4375.8999
AIM/CGE 2.2,EN_INDCi2030_1400,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39016.614,39349.4904,39715.3351,35560.9724,28287.246,27620.227,25474.5397,22050.1445,18043.2477,11516.9141,6477.12,2726.1059,2641.7917,2393.3291,2117.8323,1860.8826,1623.2105
AIM/CGE 2.2,EN_INDCi2030_1400f,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39016.614,39349.4904,39715.3351,35560.9724,30152.2853,29502.0021,27305.4233,24041.2154,20431.5174,15662.6658,9853.7367,5257.892,1070.2345,-2501.1898,-3771.342,-3974.2531,-4189.1022
AIM/CGE 2.2,EN_INDCi2030_1600,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39016.614,39349.4904,39715.3351,35560.9724,31421.442,30567.7399,28381.7407,25234.3045,21776.2523,17696.5307,12125.8389,7143.5065,2742.9898,2397.0637,2168.0625,1927.0146,1703.1074
AIM/CGE 2.2,EN_INDCi2030_1600f,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39016.614,39349.4904,39715.3351,35560.9724,32716.4401,31569.1862,29378.7131,26341.972,23033.2999,19116.0553,14384.5499,9002.7676,4453.8095,950.1742,-727.9668,-972.3977,-1205.0266
AIM/CGE 2.2,EN_INDCi2030_1800,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39016.614,39349.4904,39715.3351,35560.9724,34619.7841,33191.1092,31034.6076,28191.8885,25128.757,21484.7518,17444.8364,12417.0098,7456.8146,4217.8936,2940.6195,2715.1968,2484.5255
AIM/CGE 2.2,EN_INDCi2030_1800f,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39016.614,39349.4904,39715.3351,35560.9724,34619.7841,33191.1092,31034.6076,28191.8885,25128.757,21484.7518,17444.8364,12417.0098,7456.8146,4217.8936,2940.6195,2715.1968,2484.5255
AIM/CGE 2.2,EN_INDCi2030_800f,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39016.614,39349.4904,39715.3351,35560.9724,23872.4623,17931.2689,13320.4193,8563.8813,3694.3654,-660.075,-2561.5531,-2992.2772,-3384.1427,-3734.3153,-4038.4562,-4294.3671,-4507.3618
AIM/CGE 2.2,EN_INDCi2030_900f,P3b,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39016.614,39349.4904,39715.3351,35560.9724,23885.0144,19479.4024,17706.8073,12148.0529,6578.7081,1693.2212,-2359.5742,-3233.0212,-3553.3167,-3858.1375,-4132.4283,-4368.3203,-4567.1527
AIM/CGE 2.2,EN_INDCi2100,P1c,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39016.614,39349.4904,39715.3351,39455.9833,38763.1758,37315.5935,35170.2059,32742.8246,30347.094,28092.3056,25695.233,23316.9656,21033.9997,18781.5607,16754.5823,14892.6121,13220.066
AIM/CGE 2.2,EN_NPi2020_1000,P2a,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,39016.614,30695.9701,26000.1815,25741.6607,24722.754,22266.917,19076.0291,14363.2208,8627.2617,4123.7998,2540.2277,2326.5092,2063.7645,1815.4564,1583.1686,1376.0859,1207.362
