Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.1,EMF33_tax_hi_full,P2a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4851.6026,3213.2277,3060.606,2897.1174,2683.1516,2400.8396,2066.4853,1698.8778,1336.3189,1025.6331,826.6577,653.0398,505.7608,390.2443,301.1897,229.974,170.311
AIM/CGE 2.1,EMF33_tax_hi_none,P2a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4847.4296,3210.092,3056.6935,2894.6979,2684.6446,2409.6331,2083.9717,1735.8713,1368.6542,1050.0698,846.8468,669.4691,523.8108,408.5448,320.814,247.9375,170.9093
AIM/CGE 2.1,EMF33_tax_lo_full,P2a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4851.6026,3528.4182,3456.0857,3387.1308,3318.2568,3205.2217,3082.9191,2995.2463,2878.0609,2715.9672,2514.8583,2247.7639,1962.2418,1711.4463,1473.5564,1279.9757,1099.8318
AIM/CGE 2.1,EMF33_tax_lo_none,P2a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4847.4296,3524.5585,3450.5084,3380.3237,3310.4041,3197.1632,3079.6238,2998.3173,2886.0635,2730.3845,2537.8856,2272.7017,1987.6162,1751.861,1505.5907,1306.4609,1122.8954
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4780.2726,3108.0426,1624.8472,536.5819,575.1782,724.4138,925.1438,1117.8313,1109.8239,1032.187,898.5658,704.4079,567.3683,389.5399,242.0935,101.0672,77.3509
AIM/CGE 2.1,TERL_15D_NoTransportPolicy,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4689.6842,2963.1096,1465.6538,462.0286,485.3682,598.1348,741.0687,876.1408,831.371,721.0087,549.3103,396.1176,283.7981,168.543,82.7572,17.9046,9.5234
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4780.2726,3062.9664,2179.1057,2144.0939,2242.5064,2175.0889,1979.1635,1717.3252,1496.5211,1435.6803,1370.0043,1293.1378,1163.1178,955.5891,783.3466,595.5784,417.1049
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,P2,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4689.6842,2919.2258,2002.1421,1937.9736,2033.2488,1950.541,1778.4484,1527.3289,1333.126,1293.4067,1161.5693,910.7518,741.0981,580.5305,434.5004,306.2909,194.368
AIM/CGE 2.1,TERL_Baseline_LowCarbonTransportPolicy,P1a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4886.9234,4971.4734,4973.0952,4994.8598,5037.8566,5072.7496,5154.4577,5460.579,5884.653,6358.0378,6789.8176,7049.0973,6981.7543,6755.7024,5844.6142,5152.8677,4936.022
AIM/CGE 2.1,TERL_Baseline_NoTransportPolicy,P1a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,4834.4013,4908.054,4903.1726,4917.5943,4954.1351,4974.9062,5040.7419,5342.3067,5769.6642,6271.4958,6738.2902,7027.9387,6966.4114,6734.7754,5662.6279,5140.4289,4968.7033
AIM/CGE 2.2,EN_INDCi2030_1000f,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7626.254,6948.2792,6592.5344,4956.8744,2804.7956,2762.6363,3103.5249,2422.7611,1548.8265,1105.274,766.8386,575.5565,594.6257,603.7542,608.3593,608.7588,607.5839
AIM/CGE 2.2,EN_INDCi2030_1200,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7626.254,6948.2792,6592.5344,4956.8744,2881.4676,3002.704,3259.9875,2631.8803,1582.2624,1154.2346,982.6826,957.3857,952.6707,946.0072,934.5851,923.0401,911.1077
AIM/CGE 2.2,EN_INDCi2030_1200f,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7626.254,6948.2792,6592.5344,4956.8744,3393.9178,3874.0472,3985.9651,3493.7075,2044.4356,1327.4072,1080.3897,792.2272,571.7203,590.7232,600.7556,605.8731,602.8699
AIM/CGE 2.2,EN_INDCi2030_1400,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7626.254,6948.2792,6592.5344,4956.8744,3632.6354,4193.6581,4156.1405,3747.0678,2759.1465,1542.6608,1195.7909,968.0942,950.9138,943.4429,934.6373,923.9902,913.8414
AIM/CGE 2.2,EN_INDCi2030_1400f,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7626.254,6948.2792,6592.5344,4956.8744,4106.1524,4499.7258,4372.2264,4003.7414,3157.9837,2184.4745,1471.9827,1155.8094,848.7105,626.8397,580.1814,593.0919,599.8672
AIM/CGE 2.2,EN_INDCi2030_1600,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7626.254,6948.2792,6592.5344,4956.8744,4493.4388,4637.645,4518.5746,4169.1739,3401.9931,2536.6166,1691.2626,1303.1598,967.8055,936.7862,927.9537,919.1253,913.7036
AIM/CGE 2.2,EN_INDCi2030_1600f,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7626.254,6948.2792,6592.5344,4956.8744,4765.0293,4800.5416,4633.7782,4321.5946,3673.9107,2775.3166,1972.3799,1432.145,1087.7076,850.9973,759.5366,760.4207,758.8928
AIM/CGE 2.2,EN_INDCi2030_1800,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7626.254,6948.2792,6592.5344,4956.8744,5087.6905,4967.3531,4721.6359,4474.1126,4084.3692,3208.7806,2423.7938,1733.436,1333.3518,1048.3218,963.6304,956.5044,952.5334
AIM/CGE 2.2,EN_INDCi2030_1800f,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7626.254,6948.2792,6592.5344,4956.8744,5087.6905,4967.3531,4721.6359,4474.1126,4084.3692,3208.7806,2423.7938,1733.436,1333.3518,1048.3218,963.6304,956.5044,952.5334
AIM/CGE 2.2,EN_INDCi2030_800f,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7626.254,6948.2792,6592.5344,4956.8744,2645.2793,1855.221,1538.7604,1327.2939,978.7626,691.2409,600.8812,608.9861,614.7393,616.1927,613.9196,610.8099,609.8975
AIM/CGE 2.2,EN_INDCi2030_900f,P3b,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7626.254,6948.2792,6592.5344,4956.8744,2647.9766,2139.5176,2444.6801,1869.3335,1281.182,898.9224,614.4574,595.9677,605.4069,610.467,611.5145,609.249,608.8838
AIM/CGE 2.2,EN_INDCi2100,P1c,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7626.254,6948.2792,6592.5344,6057.3849,5688.133,5510.6392,5240.9188,4794.742,4415.6766,4179.5736,3981.5801,3543.3272,3086.5287,2775.9662,2505.3815,2298.8856,2128.8923
AIM/CGE 2.2,EN_NPi2020_1000,P2a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7626.254,4290.0728,3402.4806,3948.3682,4262.9957,4025.4768,3218.6306,2003.2953,1359.2073,1066.444,945.4416,947.3027,943.3813,938.4854,928.9439,917.4463,904.3668
AIM/CGE 2.2,EN_NPi2020_1000f,P2a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7626.254,4542.7492,4103.2538,4617.969,4682.1388,4481.2792,3916.9042,3034.3245,2158.0089,1472.007,1152.1871,847.7972,622.5626,428.033,308.7446,307.8794,337.2744
AIM/CGE 2.2,EN_NPi2020_1200,P2a,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,7626.254,4502.6401,3987.1064,4566.2247,4619.2964,4431.1569,3818.6922,2941.1894,1998.789,1413.4335,1102.5522,936.3802,936.4624,930.2007,924.4039,915.4211,903.4699
