Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.2,EN_NPi2020_900f,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,13254.8592,10515.1611,8529.253,6748.3604,4287.4828,2582.2483,1026.3633,-644.5018,-3398.3659,-5741.9182,-7742.8383,-9261.0576,-10103.0,-10835.0,-11275.0,-11757.0
AIM/CGE 2.2,EN_NPi2100,P1b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14759.4334,16834.9866,18735.2361,20666.0879,22669.9682,24087.4719,24734.2308,25604.8677,26188.176,26803.4165,28209.3851,29917.8424,31781.7003,33399.8402,35248.2901,36839.4187,38387.5244
AIM/Hub-Global 2.0,1.5C,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,13413.0307,10744.6995,6467.2177,3999.9564,1998.3234,-395.5376,-1543.6713,-1941.3215,-3366.1482,-5294.7365,-5629.8329,-5862.4799,-6829.1823,-6991.4977,-7240.1736,-7467.0575,-7699.4302
AIM/Hub-Global 2.0,2.5C,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,13987.5479,14679.1235,14478.4696,14406.503,14653.007,14148.6891,12934.962,12636.6567,11679.4523,10952.142,10151.8689,9074.9569,7677.1834,6323.9971,4950.2647,3787.1412,2633.8394
AIM/Hub-Global 2.0,2C,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,13987.5479,13717.1582,12891.7266,12200.314,11372.0441,9825.6774,7896.033,6555.0458,4398.8389,2572.9235,1383.9935,524.3586,9.68910000000001,-463.8954,-959.1434,-1329.0925,-1663.2625
AIM/Hub-Global 2.0,Baseline,P1a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,14028.4057,15492.4331,16685.3111,17915.2291,19021.8487,19703.7815,19959.9807,20535.9108,20476.9568,21077.9942,22346.3682,23783.4932,25233.8794,26533.3314,27290.8918,27841.1371,28342.5236
AIM/Hub-Global 2.0,WB2C,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,13413.085,11763.5856,7145.2851,4760.4116,3223.9146,1181.231,748.9551,389.8307,-204.6708,-1073.1825,-1672.9331,-2574.0992,-3630.7657,-5240.0666,-6951.9279,-7106.2897,-7248.6556
COFFEE 1.1,CO_2Deg2020,P2a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,11956.4848885,10995.734012,6851.2740905,2339.023755,1222.268249,194.235624,-470.043422,-532.06946,-594.095498,-409.6529925,-225.210487,-57.753321,109.703845,245.6539945,381.604144,419.2583275,456.912511
COFFEE 1.1,CO_2Deg2030,P3b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,11956.4848885,10771.040111,9629.7697224,2153.935413,1143.159676,196.416911,-497.651147,-578.3809675,-659.110788,-520.159924,-381.20906,-196.8693695,-12.529679,160.3706335,333.270946,382.2772585,431.283571
COFFEE 1.1,CO_BAU,P1a,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,11956.4848885,11060.4406265,11225.94106925,10003.49661,11552.92089,12362.53992,13253.419019,13591.326809,13929.234599,15132.7639515,16336.293304,15454.099049,14571.904794,14464.6858025,14357.466811,14254.6898705,14151.91293
COFFEE 1.1,CO_Bridge,P3c,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,11956.4848885,5374.4862099,62.92189039,108.327563,118.198363,110.299216,-29.483334,-102.657997,-175.83266,-190.864874,-205.897088,-116.894284,-27.89148,173.4529745,374.797429,422.9459075,471.094386
COFFEE 1.1,CO_CurPol,P1b,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,11956.4848885,12140.3391895,11661.78121065,8392.813642,8402.959027,8529.996027,7646.925067,8869.376364,10091.827661,10732.0178905,11372.20812,10401.594318,9430.980516,9503.515663499998,9576.050811,9491.8128845,9407.574958
