Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3330.5652,1300.8681,21.7184,-251.9096,-1704.1445,-2777.8764,-3011.1274,-2779.6231,-2207.0057,-1956.14,-1903.3297,-1825.8283,-1831.9506,-1766.2821,-1836.1033,-2022.6751,-2315.5849
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,P2,Emissions|CO2|AFOLU,Mt CO2/yr,3403.0551,1248.3319,-59.5637,-488.4805,-1834.8769,-2817.6491,-3075.2821,-2889.2028,-2373.3691,-1961.1835,-2271.9987,-2107.373,-2145.9936,-2282.1849,-2452.4778,-2703.8409,-3063.3677
AIM/CGE 2.1,TERL_Baseline_LowCarbonTransportPolicy,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,3204.7603,2978.2212,2614.2672,2291.3805,1970.0727,1657.4639,1304.0244,1275.5555,1133.0942,1018.0679,897.6157,781.9754,645.7615,524.1513,408.3155,281.1688,175.7008
AIM/CGE 2.1,TERL_Baseline_NoTransportPolicy,P1a,Emissions|CO2|AFOLU,Mt CO2/yr,3211.0917,2986.2315,2620.2333,2298.7106,1983.472,1673.8588,1316.2771,1304.2102,1166.2944,1039.9729,919.3921,799.5197,665.5216,558.8876,464.5868,346.0547,248.657
AIM/CGE 2.2,EN_INDCi2030_1000f,P3b,Emissions|CO2|AFOLU,Mt CO2/yr,2934.6175,2595.594,2135.9029,1015.7545,-97.7551,-1679.0288,-3153.4428,-3568.4052,-3397.9118,-3130.9557,-2838.9721,-2578.9139,-2358.6773,-2131.035,-1894.1275,-1676.6558,-1489.7407
AIM/CGE 2.2,EN_INDCi2030_1200,P3b,Emissions|CO2|AFOLU,Mt CO2/yr,2934.6175,2595.594,2135.9029,1015.7545,-94.0734,-1661.114,-3077.4354,-3423.311,-3247.4043,-3048.3986,-2814.9423,-2540.7127,-2280.3245,-2024.9575,-1785.7626,-1579.3147,-1410.2566
AIM/CGE 2.2,EN_INDCi2030_1200f,P3b,Emissions|CO2|AFOLU,Mt CO2/yr,2934.6175,2595.594,2135.9029,1015.7545,-63.6722,-1455.3161,-2460.6904,-2564.5735,-2377.9803,-2381.9884,-2806.2231,-2885.513,-2698.8727,-2458.9013,-2216.8849,-1972.0887,-1736.9066
AIM/CGE 2.2,EN_INDCi2030_1400,P3b,Emissions|CO2|AFOLU,Mt CO2/yr,2934.6175,2595.594,2135.9029,1015.7545,-48.9592,-1319.1183,-2190.0984,-2265.6454,-2077.9481,-2011.3799,-2462.5219,-2829.6349,-2747.6177,-2501.301,-2227.905,-1973.0272,-1737.3608
AIM/CGE 2.2,EN_INDCi2030_1400f,P3b,Emissions|CO2|AFOLU,Mt CO2/yr,2934.6175,2595.594,2135.9029,1015.7545,-26.4325,-1183.7699,-1846.5406,-1839.1625,-1668.1801,-1616.8902,-1964.7481,-2555.2652,-2699.3231,-2549.8389,-2337.0725,-2136.3864,-1923.6402
AIM/CGE 2.2,EN_INDCi2030_1600,P3b,Emissions|CO2|AFOLU,Mt CO2/yr,2934.6175,2595.594,2135.9029,1015.7545,-12.65,-1111.355,-1697.9221,-1675.1535,-1509.7609,-1461.6905,-1762.8619,-2343.7045,-2615.7641,-2504.9778,-2278.1066,-2039.1374,-1817.2423
