Model,Scenario,Policy_category,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.2,EN_INDCi2030_800f,P3b,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,43.0136,45.3524,38.727,24.9176,21.9476,21.1062,20.156,16.7268,13.7701,11.5404,9.9447,8.7341,7.6098,6.6046,5.6964,4.8955
AIM/CGE 2.2,EN_INDCi2030_900f,P3b,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,43.0136,45.3524,38.727,24.9352,23.3807,22.7284,20.4189,17.0381,14.0935,11.568,9.9199,8.7196,7.6035,6.6016,5.695,4.8949
AIM/CGE 2.2,EN_INDCi2100,P1c,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,43.0136,45.3524,47.1452,47.3095,45.7409,41.991,40.2643,38.7814,36.7445,34.9355,35.2068,34.4318,32.5857,31.0826,29.4825,27.9216
AIM/CGE 2.2,EN_NPi2020_1000,P2a,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,31.3037,27.3659,29.6664,31.2983,31.6543,30.3004,26.8199,23.2195,19.9145,16.9953,14.6097,12.8204,11.2984,9.8891,8.5813,7.4386
AIM/CGE 2.2,EN_NPi2020_1000f,P2a,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,33.0116,31.3357,33.6353,34.2899,34.4062,32.6639,32.6803,29.2997,25.5995,22.1469,19.0007,16.48,13.9566,11.6897,10.203,8.9495
AIM/CGE 2.2,EN_NPi2020_1200,P2a,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,32.7448,30.9228,33.5416,34.3189,34.4778,33.024,32.1826,28.7292,25.0528,21.5593,18.5859,16.6464,14.7739,13.004,11.4049,9.9091
AIM/CGE 2.2,EN_NPi2020_1200f,P2a,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,34.2528,33.2154,34.0624,34.4444,34.3117,32.2903,32.3699,31.4534,28.0767,24.4725,21.2758,18.6742,16.0955,13.8602,12.1664,10.6529
AIM/CGE 2.2,EN_NPi2020_1400,P2a,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,34.515,33.5192,34.3924,34.6867,34.3721,32.211,32.2538,32.1785,28.8465,25.2408,22.0684,19.5427,17.434,15.4186,13.5942,11.8567
AIM/CGE 2.2,EN_NPi2020_1400f,P2a,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,35.1628,34.1229,34.8378,35.1078,34.5626,32.1926,32.0477,32.8643,29.5386,26.0675,22.9275,20.2206,17.6346,15.4166,13.5673,11.8413
AIM/CGE 2.2,EN_NPi2020_1600,P2a,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,36.3773,35.1448,35.7516,35.9694,35.1302,32.3574,31.4382,32.2054,32.1165,28.8867,25.9373,23.3076,20.532,18.246,16.086,14.0592
AIM/CGE 2.2,EN_NPi2020_1600f,P2a,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,36.3773,35.1448,35.7516,35.9694,35.1302,32.3574,31.4382,32.2054,32.1165,28.8867,25.9373,23.3076,20.532,18.1571,16.0061,13.9881
AIM/CGE 2.2,EN_NPi2020_1800,P2a,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,37.4439,36.7297,36.7895,36.9165,35.9692,33.045,31.5418,31.8476,32.6914,30.2727,27.541,24.9606,22.2503,19.8284,17.5135,15.3284
AIM/CGE 2.2,EN_NPi2020_1800f,P2a,Secondary Energy|Electricity|Coal,EJ/yr,40.0747,37.4439,36.7297,36.7895,36.9165,35.9692,33.045,31.5418,31.8476,32.6914,30.2727,27.541,24.9606,22.2503,19.8284,17.5135,15.3284
